Rank,Tag,Machine Name,Asset Tag,Cash Revenue,Bonus Cash,Token Play,Points,Time Base Play Revenue,Points Cash Value Paid,Coin Play,Time Based Play,EMP Plays,% Payout,Average Play Value,Percent of Total Sale,Facility,ImagePath
67,42,Candy Crane,42,"$1,034.11 ",$230.39 ,0,,$0.00 ,$0.00 ,843,0,8,0,$1.50 ,0.59,Mill Creek,img/CandyCrane.jpg
112,27,Duck Catcher,27,$0.00 ,$0.00 ,0,,$0.00 ,$0.00 ,0,0,1,0,$0.00 ,0,Mill Creek,img/DuckCatcher.jpg
2,315,E-Claw 1,315,"$5,229.71 ","$1,338.05 ",0,,$0.00 ,$0.00 ,"2,009",0,40,0,$3.27 ,3,Mill Creek,img/Eclaw.jpg
12,206,E-Claw 2,206,"$2,780.86 ",$859.14 ,0,,$0.00 ,$0.00 ,"1,146",0,20,0,$3.18 ,1.59,Mill Creek,img/Eclaw.jpg
7,46,Fun Zone 2,46,"$3,051.98 ",$834.28 ,0,,$0.00 ,$0.00 ,"1,632",0,76,0,$2.38 ,1.75,Mill Creek,img/FunZone.jpg
11,44,Fun Zone 1,44,"$2,807.34 ",$618.91 ,0,,$0.00 ,$0.00 ,"1,501",0,60,0,$2.28 ,1.61,Mill Creek,img/FunZone.jpg
112,298,empty,298,$0.00 ,$0.00 ,0,,$0.00 ,$0.00 ,0,0,0,0,$0.00 ,0,Mill Creek,
38,49,Prize Box,49,"$1,732.79 ",$290.71 ,0,,$0.00 ,$0.00 ,752,0,120,0,$2.69 ,0.99,Mill Creek,img/PrizeBox.jpg
1,325,Mega Prize,325,"$11,745.31 ","$2,272.20 ",0,,$0.00 ,$0.00 ,"4,656",0,18,0,$3.01 ,6.73,Mill Creek,img/MegaPrize.jpg
4,13,Prize Locker,13,"$4,559.71 ",$685.04 ,0,,$0.00 ,$0.00 ,"1,701",0,8,0,$3.08 ,2.61,Mill Creek,img/PrizeLocker.jpg
96,30,Photo Booth,30,$581.25 ,$106.25 ,0,,$0.00 ,$0.00 ,147,0,12,0,$4.68 ,0.33,Mill Creek,img/PhotoBooth.jpg
3,135,Mini Golf,135,"$4,801.40 ","$1,190.80 ",433,,"$1,125.00 ",$0.00 ,"1,101",125,58,0,$5.44 ,2.75,Mill Creek,img/MiniGolf.jpg
70,88,Mini Bowling 4,88,"$1,008.43 ",$371.57 ,0,,"$1,575.00 ",$0.00 ,293,315,10,0,$4.71 ,0.58,Mill Creek,img/Bowling.jpg
75,87,Mini Bowling 3,87,$906.99 ,$258.01 ,0,,"$1,495.00 ",$0.00 ,246,299,10,0,$4.74 ,0.52,Mill Creek,img/Bowling.jpg
80,86,Mini Bowling 2,86,$873.25 ,$349.25 ,0,,"$1,410.00 ",$0.00 ,263,282,4,0,$4.65 ,0.5,Mill Creek,img/Bowling.jpg
87,85,Mini Bowling 1,85,$754.00 ,$356.00 ,0,,$975.00 ,$0.00 ,235,195,9,0,$4.72 ,0.43,Mill Creek,img/Bowling.jpg
21,129,King Kong VR 1,129,"$2,316.91 ",$560.09 ,68,,$258.00 ,$0.00 ,593,43,14,0,$4.85 ,1.33,Mill Creek,img/KingKongVR.jpg
22,130,King Kong VR 2,130,"$2,298.20 ",$566.80 ,79,,$240.00 ,$0.00 ,597,40,8,0,$4.80 ,1.32,Mill Creek,img/KingKongVR.jpg
8,131,Storm VR 1,131,"$2,956.74 ",$637.27 ,97,,$42.00 ,$0.00 ,743,7,15,0,$4.84 ,1.69,Mill Creek,img/StormVR.jpg
15,132,Storm VR 2,132,"$2,586.36 ",$569.64 ,85,,$408.00 ,$0.00 ,644,68,12,0,$4.90 ,1.48,Mill Creek,img/StormVR.jpg
